MENU_ITEM_NAME,SUB_ITEM_QUANTITY
Extra Queso,47.00
GRILLED CHICKEN,47.00
Mango,47.00
No Chips And Salsa,47.00
Side Of Ranch,48.00
Side of Teriyaki*,47.00
Sour Cream On The Side,45.00
TOOO GOOOOOO,47.00
With Lime,47.00
Add Shredded Parmesan,46.00
Do Not Make,46.00
No Poblano Sauce*,46.00
Side Ranch,46.00
Add Celery,45.00
EXTRA CRISPY,44.00
Extra Taco,45.00
In Cold Glass,45.00
No Pepperoni,45.00
Pickle Back,45.00
Add Green Peppers (Pizza),42.00
Add Hot Honey (Pizza),46.00
Romaine On The Side*,44.00
Sauce On Side,43.00
Splash Cran,44.00
Add Diced Smoked Ham (Pizza),43.00
Big Rock,44.00
Blackberry Mojito (Flight),42.00
Classic Mojito (Flight),42.00
Dragon Fruit Mojito (Flight),42.00
No Onion,42.00
Smoked Old Fashion,43.00
South Seas Mojito (Flight),42.00
Tooo Goooooo,43.00
Grilled Chicken,42.00
No Dressing*,42.00
Raj Water,42.00
SUB Titos Vodka,42.00
Add Bacon Slices*,41.00
Add Creamy Ricotta,41.00
Brown Sugar Bourbon Dry Rub TOSS*,41.00
Garlic Parmesan Sauce,41.00
NO BUN,41.00
No Ice,41.00
Add Creamy Ricotta (Pizza),40.00
Carryout,40.00
No Cilantro Onion,40.00
Toss In Cajun,40.00
2 Spoons,35.00
Add Croutons*,39.00
Add Jalepenos,39.00
Crispy Fries,38.00
No Honey,39.00
SD MAYO,39.00
Add Lemon Pepper To Wings,38.00
Add Mayo,38.00
As A Wrap,38.00
Loaded Tots,38.00
No Pepperoncini Peppers,38.00
Tooo Gooooo,38.00
Toss Chicken In Buffalo,38.00
Whiskey Sour,38.00
With Cold Glass,38.00
Add Guac,37.00
Bacon*,37.00
LIGHT SAUCE,37.00
No Honey*,39.00
No Pretzel Salt,38.00
No Salt,35.00
Add Caesar Dressing 1.5oz,36.00
Add Raw Onion,36.00
Add Romaine Leaf*,36.00
Add Vine Ripened Tomato Sauce 6oz,36.00
Bacon on the side*,36.00
Extra Crispy Fries,35.00
Extra Pickles,36.00
Four Roses Bourbon Double,36.00
No Basil*,36.00
No Seasoning On Fries,36.00
Rocks Glass,38.00
Short Glass,40.00
Side Onion Rings,36.00
Taste,36.00
Teriyaki Sauce TOSS*,36.00
Add Tomato Slices*,35.00
Bacon Slices On The Side,34.00
Big Cube,35.00
Extra Cheese,34.00
No Caesar Dressing,35.00
Ranch Water,36.00
Splash Of Cranberry,35.00
Watermelon,34.00
Add Jalapeno Slice (Pizza),34.00
Add Romaine Leaf,34.00
No Balsamic,34.00
No Buffalo Sauce,34.00
No Cilantro,34.00
SKINNY,34.00
Tomato On The Side,33.00
