MENU_ITEM_NAME,AVERAGE_ITEM_PRICE,ITEM_QUANTITY,ITEM_NET_AMOUNT
Bud Light,4.72,2003.00,9105.56
Coors Light,4.77,1996.00,9334.59
Michelob Ultra Btl,4.98,2005.00,9623.23
Parish Ghost in the Machine,6.88,1969.00,13200.93
15 Chicken Wings,23.24,1889.00,42738.59
2 Grilled Poblano Chicken Tacos,11.01,1943.00,19153.93
Jack Daniels Whiskey,7.50,1970.50,13423.69
Craft Your Masterpiece Pizza,14.88,1861.00,23188.66
Sirloin Steak Nachos,18.63,1788.50,31639.65
Side Caesar,4.25,1817.00,7097.29
HH Green Tea,4.51,2406.00,9236.39
Founders Solid Gold,5.37,1798.00,8905.78
Weihenstephaner Hefeweissbier,8.12,1794.00,14240.56
2 Blackened Cod Tacos,12.91,1740.00,21081.01
Golden Road Mango Cart,6.02,1720.00,9977.56
Side of Buttermilk Ranch Dressing*,0.50,1686.00,830.37
Hand Breaded Pickle Chips,9.94,1553.00,15037.81
2 Smoked Brisket Tacos,14.59,1631.00,22856.77
Allagash White,6.61,1583.00,10181.99
Spicy Rita Cocktail,9.65,1523.00,14336.60
Pork Potstickers,12.46,1496.00,17917.60
All American Cheeseburger (Lunch),10.33,1540.00,15490.87
Sprite,3.50,1515.00,5241.08
Texas Mule,9.69,1514.00,13681.47
Lemonade,3.16,1513.00,4708.89
Mac & Cheese Bites,8.62,1438.00,11982.65
Chicken Nachos,15.59,1393.00,20675.40
Raspberry Lemon Drop Martini Cocktail,11.51,1431.00,16127.67
White Caprese Pizza,14.27,1392.00,16701.68
Buffalo Cauliflower,10.02,1358.00,13011.74
Mystery Draft,3.00,1344.00,3949.13
Tap Salad with Chicken,13.20,1332.00,16415.81
Water,0.00,1345.00,0.00
Brass Tap Classic Pizza,14.29,1310.00,17783.99
Carnivore Pizza,16.16,1287.00,19314.32
Side Tater Tots,3.84,1257.00,4323.03
Smoked Pork Quesadilla,11.17,1271.00,12076.88
Loaded Tots,10.75,1189.00,12347.37
Smoked Old Fashioned,13.63,1237.00,16677.34
Espresso Martini Cocktail,13.01,1259.00,15557.28
Shrimp Platter,16.44,1214.00,19244.56
Side Tap Salad,4.17,1162.00,4560.05
Chocolate Chip Lava Cookie & Ice Cream,9.31,1140.00,8875.16
Gilroy Garlic Fries,8.01,1051.00,8258.92
Watermelon Margarita Cocktail,12.53,1113.00,13529.80
Wing Basket (Lunch),10.38,1113.00,11297.40
Peach Bourbon Smash Cocktail,11.61,1105.00,12476.90
NEW - Chicken Bacon Ranch Sub,12.82,1043.00,11985.92
NEW - Mac & Cheese Bites,8.52,1015.00,8042.82
Buffalo Trace,9.25,1065.00,9695.93
Side Brussels Sprouts,4.60,1009.00,4274.06
HH Cheeseburger & Fries,9.17,1021.00,8655.19
Chips & Queso,9.54,966.00,8931.25
BBQ Pork Queso Mac & Cheese Bites,11.67,953.00,10835.99
Trio Dips & Chips,11.51,936.00,10650.36
HH Wheatley Vodka,6.42,1005.00,6323.42
Mercier Orchards Grumpy Granny,7.12,987.00,6757.69
Three Taverns A Night on Ponce,6.42,964.00,6045.56
Angry Orchard Crisp Apple Cider,6.60,981.00,6143.69
Corona Extra btl,5.90,975.00,5574.71
Fire Maker Hazed & Blazed,6.30,957.00,5876.65
NEW - Italian Sub,13.28,955.00,11330.75
Fried Shrimp,15.97,949.00,13560.15
NEW - Asian BBQ Crispy Chicken Sandwich,14.80,954.00,12691.00
Loaded Fries,10.51,933.00,9246.03
Kendall Jackson Chardonnay 6,10.29,906.00,9089.12
Jack Daniels Tennessee Honey Whiskey,7.15,950.00,5993.17
Oyster Bay Sauvignon Blanc 6,10.50,901.00,9254.78
Strawberry Basil Mule Cocktail,10.50,896.00,8908.69
Crispy Brussels Sprouts,10.02,842.00,8199.44
Side Gilroy Garlic Fries,4.00,854.00,3270.92
Avocado Burger 6oz,15.76,853.00,12333.81
Original Sin Black Widow Blackberry Cider,6.76,850.00,5653.23
Wicked Weed Pernicious,6.79,845.00,5614.00
Heineken Lager btl,5.64,850.00,4726.90
Guac Burger 6oz,16.05,841.00,12987.12
Boneless Wings Basket,14.48,825.00,10801.66
New - Hand-Breaded Boneless Wings,12.11,813.00,8658.05
Side of Small Ranch Dressing,0.50,814.00,397.95
NEW - Margarita Flight,15.98,800.00,12577.36
BBQ Chicken & Bacon Pizza,14.47,782.00,10026.04
Bourbon Maple Butter Cake,10.00,785.00,7204.57
Jack Daniels Fire,6.28,800.00,4759.84
Margarita Flight,16.02,752.00,11842.01
HH Fireball Shot,4.50,766.00,3283.41
HH Drink of the Week,7.05,753.00,5102.09
Drink of the Week 1,12.90,717.00,8706.52
NEW - BBQ Pork Queso Mac & Cheese Bites,11.56,706.00,7638.97
Wheatley Vodka,8.17,806.00,6014.24
High Noon Pineapple btl,6.85,718.00,4796.68
Crispy Chicken Sandwich (Lunch),10.48,719.00,7434.14
Ribeye Steak Sandwich,18.01,716.00,12447.79
Jagermeister,7.12,857.00,5619.63
Grey Goose Vodka,10.15,711.00,6871.15
Long Island Iced Tea,14.03,705.00,9645.67
NEW - Smoked Old Fashioned,12.99,691.00,8677.53
HH Pretzels,8.01,664.00,4912.84
Crown Royal Whiskey,9.34,711.00,6545.65
HH Jack Daniels,6.39,696.00,4341.32
Ranch Water Cocktail,9.01,690.00,6038.34
SweetWater Tropical High Hazy IPA,5.55,673.00,3680.47
Hofbrau Dunkel,6.26,664.00,4075.52
HH Chicken Quesadilla,9.01,686.00,5147.57
Strawberry Coconut Mojito Cocktail,12.47,644.00,7772.67
Makers Mark Bourbon,11.23,666.00,5741.25
New Realm Psychedelic Rabbit,6.10,656.00,3840.88
Warsteiner Premium Dunkel,6.16,638.00,3873.58
NEW - Hand breaded Pickle Chips,10.04,629.00,6080.92
Side Buff Cauliflower,4.00,632.00,2249.10
Impossible Burger,17.50,634.00,10557.98
Fireball Whiskey,6.14,670.00,3523.78
Yazoo Gerst Amber Ale,6.68,626.00,4103.10
HH Pepperoni Pizza,8.52,616.67,4551.15
Tucker Georgia Red Lager,5.43,613.00,3274.86
Coke Zero,3.20,608.00,1931.62
The Weekender Cocktail,12.00,606.00,7175.97
6 Boneless Wings,11.08,601.00,6144.88
Lexington Kentucky Bourbon Barrel Ale,6.57,599.00,3852.53
Tap Salad with Steak,15.70,596.00,8672.78
The Biggy BBQ Mac Burger,17.35,599.00,10070.56
Bacardi Silver Rum,6.39,600.00,3649.52
Tiki Man Cocktail,11.10,588.00,6185.39
Repo Rita Cocktail,12.02,580.00,6746.14
Brussels Sprouts,10.03,549.00,5302.39
2 Chicken Tacos (Lunch),10.05,568.00,5528.25
Atlanta Hard Cherry Pie,5.15,572.00,2716.27
Monday Night Dr Robot,6.38,553.00,3357.36
Chicken Bacon Ranch Sub,12.78,549.00,6718.24
Kona Big Wave Golden Ale,5.55,530.00,2764.10
Teremana Reposado Tequila,11.19,588.00,6043.35
Firewater Hop Chief,7.03,534.00,3614.78
HH Boom Boom Shrimp,9.00,509.00,4449.58
Onion Rings,9.90,503.00,4826.21
Casamigos Blanco Tequila,11.27,571.00,5981.63
Side of Bleu Cheese Dressing*,0.50,521.00,257.05
Steak Frites,23.63,518.00,11728.94
Terrapin Los Bravos,6.85,499.00,3332.30
Monday Night Dr. Robot,6.29,499.00,3031.54
Korean BBQ Pork Nachos,17.26,473.50,7849.41
Kraken Black Spiced Rum,6.13,488.00,2760.78
Ecco Domani Pinot Grigio 6,10.00,465.00,4485.13
Miller High Life btl,4.00,472.00,1866.50
Caesar Salad w Steak,14.44,467.00,6224.71
HH Teremana Blanco,6.26,470.00,2848.59
Side of Honey Mustard*,0.50,464.00,229.52
NEW - The Biggy BBQ Mac Burger,17.13,449.00,6731.30
Woodford Reserve Bourbon,16.07,448.00,7113.88
Caesar Salad w Shrimp,13.28,443.00,5306.59
Creature Comforts Fall,6.50,444.00,2787.50
Hand-Breaded Boneless Wings (Lunch),10.27,421.00,4048.88
Scofflaw POG Basement,6.78,434.00,2881.68
Terrapin Hopsecutioner,6.54,434.00,2736.63
Mimosa GL,7.43,421.00,3024.89
Caesar Salad (No Protein),10.64,421.00,4077.88
Chicken Potstickers,11.81,411.00,4494.16
Classic Bloody Mary,10.27,426.00,4306.40
Dont Mock the Dragon,7.56,425.00,3095.32
Bucket - (5) Miller Lite,15.03,357.00,5233.97
Creature Comforts Automatic,6.17,414.00,2468.13
HH CR Cabernet 6,5.01,417.00,2068.59
Reformation A Cold One 971 Pilsner,5.06,408.00,2010.65
Tap Salad (No Protein),12.56,406.00,4628.55
HH CAVIT Pinot G 6,5.00,407.00,1976.91
Scofflaw Basement,6.75,404.00,2685.86
Angry Orchard Crisp Apple Cider btl,5.78,386.00,2008.14
Corona Light btl,6.05,392.00,2336.85
Mom Water btl,8.00,404.00,2960.65
CAVIT Pinot Grigio 6,8.02,379.00,2941.66
Athletic Free Wave Hazy IPA can,5.45,384.00,2027.22
Chips & House Made Guacamole,9.55,370.00,3420.30
Teremana Blanco Tequila,10.38,393.00,3667.37
Monday Night Drafty Kilt,7.07,375.00,2575.22
HH Chicken Tacos,9.15,372.00,3144.72
Casamigos Reposado Tequila,13.22,414.00,5158.22
Captain Morgan Spiced Rum,7.45,367.00,2702.71
Athletic Upside Dawn Golden Ale can,5.44,353.00,1879.20
Victory Sour Monkey,5.93,349.00,2029.56
Tap Salad with Chicken (Lunch),10.10,352.00,3497.30
20 Chicken Wings,30.07,339.00,9878.66
Victory Golden Monkey,5.69,348.00,1936.00
NEW - Onion Rings,10.04,324.00,3090.97
Don Julio Blanco Tequila,12.53,443.00,5053.80
Sweetwater Blue,5.25,338.00,1724.44
Wednesday Wing Basket,10.07,347.00,3428.38
New Holland Dragons Milk,7.07,337.00,2318.27
HH Sangria Red,5.54,331.00,1815.17
2 Grilled Chicken Tenders,5.02,336.00,1468.02
Madria Sangria Red,8.50,328.00,2675.90
NEW - Jalapeno & Cheese Pretzel,11.08,320.00,3334.34
NEW - Everything Bagel Pretzel,11.25,321.00,3432.31
Sparkling Paloma Cocktail,10.51,323.00,3307.18
Labatt Blue,4.66,328.00,1488.00
LHH Green Tea,4.51,693.00,2740.79
Dos Equis Special Lager btl,5.00,335.00,1655.55
Chips & Salsa,6.96,307.00,2089.79
Pizza Fritta,7.92,310.00,2376.30
Atlanta Peach Cider,5.35,312.00,1634.27
Side of Queso*,1.00,304.00,258.47
Green Tea Shot,8.77,338.00,2731.56
Freakshow Cabernet Sauvignon 6,12.00,301.50,3501.59
North Coast Old Rasputin Nitro,6.58,305.00,1950.08
Tap Salad with Shrimp,15.21,304.00,4361.56
10 Boneless Wings,17.31,299.00,5002.26
Side of Queso,1.02,300.00,232.09
Monday Cheeseburger,9.42,301.00,2698.69
Side Coleslaw,2.92,305.00,776.18
Wild Leap LMN ADE Blueberry,4.66,251.00,1061.53
Ginger Ale,3.50,289.00,985.97
Side of Salsa,0.51,292.00,136.85
Bearded Iris Flamingo Road,4.33,284.00,1170.32
Herradura Reposado Tequila,14.65,333.00,4395.77
Dive Beer,3.11,283.00,830.58
Reformation Oktoberfest,6.25,282.00,1734.00
Gate City Copperhead Amber,6.34,270.00,1621.54
Allagash Haunted House,5.06,280.00,1372.78
Bold Rock Blackberry btl,5.88,277.00,1582.50
Founders Nitro Breakfast Stout,6.03,283.00,1630.00
Moody Tongue Aperitif Pilsner,7.07,272.00,1833.53
Ace Pineapple Cider,5.59,282.00,1456.69
Lalo Blanco Tequila,14.31,295.00,3551.60
New Belgium Voodoo Ranger Juicy Haze,5.71,273.00,1542.66
Herradura Silver Tequila,13.31,288.00,3583.30
Side of Buffalo Sauce*,0.50,269.00,131.08
Side Onion Rings,5.02,267.00,1262.19
Cherry Street Coconut Porter,6.53,268.00,1693.95
Skrewball Peanut Butter Whiskey,8.14,273.00,2201.19
Canyon Road Cabernet 6,7.57,262.00,1938.84
HH CR Chardonnay 6,5.01,264.00,1308.00
Don Julio Reposado,15.14,278.00,3814.17
Sierra Nevada Celebration,5.60,256.00,1408.60
Highland Gaelic Ale,5.30,255.00,1331.36
Highland Pilsner,6.45,256.00,1632.46
Sierra Nevada Pale Ale,5.80,255.00,1469.27
Canyon Road Chardonnay 6,8.00,239.00,1873.46
Fire Maker Calamity Jane Blonde Ale,5.40,248.00,1301.40
Three Taverns Juiced on Ponce,6.31,247.00,1514.41
Side of Bleu Cheese Dressing,0.50,242.00,114.87
Sierra Nevada Sunny Little Thing,5.48,249.00,1326.84
Terrapin Watermelon Gose,5.84,247.00,1367.44
Side of Salsa*,0.51,237.00,113.87
Moody Tongue Orange Blossom Belgian Blonde,6.47,228.00,1396.89
Casa Noble Reposado Tequila,11.03,243.00,2295.73
Philly Cheese Steak,10.79,236.00,2115.50
Samuel Adams Summer Ale,4.83,230.00,1092.73
Red Bull,4.01,229.00,534.55
Patron Silver Tequila,10.95,237.00,2569.80
Side of Hot Wing Sauce*,0.50,236.00,116.19
Lunetta Prosecco 6,10.51,221.00,2235.80
Meiomi Pinot Noir 6,13.09,221.00,2819.29
Shirley Temple,3.10,237.00,704.85
Jose Cuervo Tradicional Blanco,5.94,258.00,1286.58
Untitled Art Florida Seltzer Prickly Pear Guava,6.51,231.00,1458.02
Ketel One Vodka,10.89,231.00,2322.78
Chip Refill,0.01,220.00,3.00
HH Mac & Cheese Bites,7.00,204.00,1343.28
Literally Vodka,8.62,219.00,1741.58
Side Celery,0.99,209.00,188.41
Side of Honey Mustard,0.50,215.00,105.71
1792 Small Batch Bourbon,13.43,214.00,2647.79
Aviation Gin,7.67,218.00,1633.61
Silver Gate Brut,9.83,209.00,1967.41
Rumpleminze,6.16,222.00,955.56
Bombay Sapphire Gin,7.82,222.00,1704.88
Labatt Labat Blue btl,5.00,218.00,1068.46
Scofflaw Double Jeopardy,5.47,209.00,1117.25
Coconut Key Lime Pie Shot,6.05,221.00,1217.27
Prairie Rainbow Sherbet,4.41,209.00,871.56
HH Sangria White,5.43,201.00,1079.16
Pacifico btl,5.00,207.00,1003.60
Spicy Watermelon Cucumber Margarita,11.01,201.00,1975.30
Abita Purple Haze,5.61,203.00,1124.97
Dogfish Head Grateful Dead Juicy Pale Ale,7.25,207.00,1440.44
StillFire Peach State Light,4.54,197.00,804.61
Hennessy VS Cognac,11.10,215.00,2187.64
Pepperoni Pizza (Lunch),10.19,197.00,1942.75
Thursday Chicken Tenders,10.15,200.00,1991.28
Side of Sweet Baby Rays BBQ Sauce*,0.50,203.00,99.95
Grolsch Grolsch btl,7.00,194.00,1297.13
Left Hand Milk Stout,8.64,198.00,1676.26
Orpheus Transmigration of Souls,5.19,195.00,1010.00
Moody Tongue Juiced Lychee IPA,6.46,203.00,1298.96
Side of Ranch Dressing,0.50,201.00,100.04
Empress 1908 Gin,8.96,199.00,1698.27
Creature Wild Planet IPA,6.83,202.00,1296.65
Bold Rock Sunset Slice,5.31,193.00,983.42
Ayinger Oktober Fest Marzen,9.11,188.50,1625.14
Pink Starburst Shot,6.00,198.00,1041.95
Irish Car Bomb,6.91,257.00,1540.05
Wild Leap Local Gold Blonde Ale,6.44,191.00,1204.51
Bold Monk Discipline Dubbel,6.45,188.00,1165.96
Doggie Burger 6oz,5.00,197.00,912.60
Creature Comforts Neon Cylinders: Hot Pink,6.56,187.00,1179.32
Side of Caesar Dressing*,0.50,184.00,86.00
Green Man ESB,5.81,182.00,1036.95
Three Taverns Rapturous,7.00,183.00,1081.61
Crown Royal Regal Apple Whiskey,9.32,191.00,1763.95
New Belgium Fat Tire btl,5.85,175.00,996.50
Side of Buffalo Sauce,0.51,188.00,93.44
Hugo Spritz,11.99,180.00,2092.16
New Belgium VooDoo Ranger IPA,6.66,179.00,1185.78
Dos Equis Special Lager,8.01,180.00,1356.02
HH Skrewball Shot,4.50,178.00,782.95
Red Stripe Jamaican Lager btl,4.91,176.00,800.75
Reformation Jude,4.49,178.00,772.13
Abita Fluffer Nutter,5.47,177.00,907.46
Belvedere Vodka,9.98,186.00,1259.15
Cigar City Florida Man Tropical Punched DIPA CAN,5.00,172.00,850.53
Jack Daniels Tennessee Apple Whiskey,6.72,179.00,1126.64
Madria Sangria White,8.47,175.00,1431.76
Dos Equis Amber Lager,7.95,174.00,1358.49
Untitled Art Florida Seltzer Blackberry Agave,5.98,173.00,980.17
Creature Comforts Neon Cylinders: Golden Rays,5.06,170.00,803.26
Surfside Lemonade & Vodka can,7.42,183.00,1266.78
Deschutes Black Butte Porter,6.01,167.00,953.23
HH Bacardi Silver,6.56,170.00,1072.15
Eagle Rare 10yr Bourbon,15.08,146.00,2175.63
Fried Fish Sandwich,10.78,166.00,1573.40
Aperol Spritz,7.04,163.00,1036.58
Brahma,4.92,168.00,809.00
Monday Night Be Easy,7.08,169.00,1152.28
Four Roses Bourbon,7.64,168.00,1240.81
Sierra Nevada Hop Tropical IPA,4.45,166.00,715.27
Angry Chair Full Circle,5.03,158.00,738.16
Brahma Chopp btl,3.77,158.00,565.44
Bold Monk Shared Spirit,6.11,158.00,940.12
Untitled Art Florida Seltzer Blood Orange Pomegranate,5.50,157.00,852.01
Twisted Tea Original can,5.00,162.00,363.07
Arches Mexican Empire Vienna Lager,5.06,154.00,738.00
Southern Tier Pumking,6.38,156.00,909.33
6666 Grit & Glory Amber Lager,5.29,152.00,777.00
Gummy Bear Shot,6.00,162.00,930.22
Mimosa Flight,15.48,145.00,2152.50
Side of Sweet Heat Sauce,0.50,150.00,62.99
Sycamore Pumpkin Latte Blonde,4.77,147.00,624.28
Monkey Wrench Waynes Wheat,5.63,153.00,838.01
Stone Zumology IPA,5.43,153.00,792.00
Untitled Art Blueberry Kumquat Florida Seltzer,5.52,151.00,808.50
Three Taverns Saporous,5.71,151.00,799.28
Abita Strawberry Harvest Lager,5.68,147.00,714.95
Edmunds Oast Sour Coconut Lime,4.31,151.00,574.77
Side of Sweet Heat Sauce*,0.50,153.00,74.54
StillFire Blue Bandito,4.89,151.00,705.47
SweetWater Dive Beer can,4.85,149.00,688.04
Wrecking Bar Casa Bonita Amber Mexican Lager,4.71,153.00,716.11
Atlanta Crisp Apple Cider can,7.99,137.00,1080.50
Goose Island Bourbon County Brand Backyard Stout 2023,11.78,145.00,1620.68
Leinenkugel Summer Shandy,6.42,145.00,894.02
Edmunds Oast Arcade,5.68,146.00,817.00
Mojito,10.09,152.00,1426.95
New Realm Kickflipper,5.45,146.00,783.98
Surfside Strawberry Lemonade Vodka can,6.26,160.00,951.00
Franciscan Cabernet 6oz,11.20,150.00,1632.96
Freakshow Cabernet Sauvignon 6*,12.00,144.00,1622.48
Hennessy Cognac,13.71,145.00,1876.86
Smithwicks,6.78,148.00,979.70
Variant Norcross St.,7.04,144.00,1002.05
Apothic Red Blend 6,10.50,143.00,1468.51
Back Forty Truck Stop Honey Brown,5.90,144.00,826.52
Monday Night Bourbon Barrel Drafty Kilt,6.67,145.00,913.91
NEW - Fried Green Beans,10.00,141.00,1368.86
Wicked Weed Perni Haze,6.62,146.00,951.39
Founders Rubaeus Nitro,5.97,149.00,743.92
Reformation Tangelic Tangerine Radler,6.70,144.00,861.23
Round Trip Instant Krusch,5.84,145.00,796.81
Abita Amber,5.67,147.00,826.12
BT Mushroom & Swiss Burger,10.65,143.00,1491.00
Breakfast Sliders,13.07,140.00,1560.73
New Realm Hazy Like a Fox,6.12,142.00,855.60
Three Taverns Mango Pzazz,5.66,143.00,735.71
Anderson Valley Nitro Barney Flats,6.19,139.00,832.39
Hangover Burger,15.96,140.00,2158.56
Sycamore Tropical Cider,5.76,143.00,770.84
Untitled Art Black Lager,6.35,135.00,843.82
Rogue Chocolate Stout,6.66,136.00,886.94
Tivoli Outlaw Mile Hi,4.22,138.00,561.05
All American Breakfast*,11.95,137.00,1531.48
Basil Haydens Bourbon,14.56,142.00,2036.48
Chicken & Waffles,16.94,137.00,2104.95
New Realm Oaxaca Choca,6.50,136.00,857.60
Original Sin Hard Cider,6.39,137.00,845.01
Tuesday 2 Chicken Tacos,9.01,137.00,1198.97
Victory Berry Monkey,6.01,135.00,786.59
Fernet Branca,7.05,192.00,1257.40
Samuel Smiths Organic Chocolate Stout,6.71,134.00,851.00
Akademia IQ IPA,6.56,131.00,831.00
New Belgium Dominga Mimosa Sour,4.92,130.00,606.00
New Belgium Voodoo Ranger 1985 IPA,5.55,133.00,732.00
High Noon Watermelon btl,6.91,132.00,892.25
Impossible Nachos,18.53,130.00,2353.51
Highland Oatmeal Porter,5.97,126.00,732.14
Ommegang Three Philosophers,7.35,129.00,869.68
Six Bridges Sour Continuum Blood Orange Raspberry Sour Ale,7.04,129.00,872.78
SweetWater Daytrip IPA,5.20,128.00,644.73
HH Cheese Curds,9.00,129.00,1158.27
Stone Buenaveza Salt & Lime Lager,5.90,133.00,744.77
Sycamore Mountain Candy,6.17,132.00,779.00
Side of Cowboy Sauce,0.50,123.00,55.95
Side of Malt Vinegar Aioli*,0.50,124.00,61.41
Wicked Weed Freak of Nature,7.51,123.00,835.51
Scofflaw Quest Coast IPA,6.44,126.00,804.04
Side of Boom Boom Sauce*,0.50,129.00,61.60
New Belgium Voodoo Ranger,7.30,123.00,885.50
StillFire Glory Haze,6.19,125.00,767.00
Sunset Bloom Spritz,11.10,125.00,1383.14
Sweetwater 420 Strain G13,6.16,129.00,774.17
The Finnish Long Drink Traditional can,7.68,129.00,965.94
2 Impossible Tacos,14.72,125.00,1752.19
Six Bridges Sour Continuum with Peach and Mango,5.96,126.00,750.30
Deschutes Fresh Squeezed IPA,7.35,124.00,849.70
Athletic Run Wild IPA can,6.00,123.00,725.02
Ayinger Celebrator Doppelbock,5.92,120.00,687.71
Grilled Chicken Caprese Sandwich,14.12,121.00,1279.00
Left Hand Milk Stout Nitro,8.06,121.00,955.59
Yazoo Dos Perros Lager,5.81,115.00,668.00
Chicken Parmesan Sliders,12.25,118.00,1332.35
Terrapin Moo Hoo,5.28,121.00,579.64
Dogfish Head 60 Minute IPA,5.62,117.00,641.85
Fire Maker Vodka Blueberry Lemonade,7.67,113.00,812.23
Parrot Bay Coconut Rum,7.43,114.00,737.17
Side of Marinara Sauce*,0.50,119.00,56.50
Anheuser Busch Michelob Ultra Zero btl,4.50,112.00,492.60
HH Tanqueray,6.15,113.00,678.70
Side of Large Ranch Dressing,1.02,116.00,114.54
Deschutes Nitro Obsidian Stout,5.50,110.00,602.50
Southwest Skillet,14.55,111.00,1521.72
Atlanta Hard Tiki Haze,4.95,111.00,534.30
HH Cheese Pizza,8.60,102.00,771.76
Budweiser ZERO can,4.91,106.00,515.00
NoFo Cowboys Payday,6.28,111.00,676.00
Sierra Nevada Premium Pils Craft Lager,6.66,111.00,711.46
Bluejacket Hill House,7.01,104.00,693.19
Six Bridges Sour Continuum with Cranberry Cherry Cinnamon,4.67,108.00,475.20
Ghost Tequila,9.98,117.00,1022.67
Samuel Adams Octoberfest,7.60,105.00,744.57
The Finnish Long Drink Zero can,8.00,109.00,857.26
WeldWerks Wakey Wakey Boba,4.59,109.00,473.94
Fleurs de Prairie Rose 6,11.00,103.00,1083.83
HH Onion Rings,7.00,101.00,692.76
Peach Strawberry Mocktini,7.18,104.00,710.00
HH Coconut Key Lime Pie Shot,4.50,106.00,463.45
Moody Tongue Grilled Pineapple Pilsner,6.12,104.00,605.16
Terrapin Rye Pale Ale,4.84,100.00,468.87
Frog Rock Scales of Justice,5.75,104.00,588.23
Southwest Burrito,14.50,102.00,1359.32
Buffalo Chicken Dip (Fall25),9.50,95.00,878.74
Canyon Road Cabernet 6*,8.01,100.00,799.30
NEW - Basil Breeze,11.04,101.00,1032.36
Pilsner Urquell btl,6.97,102.00,695.11
Casa Noble Blanco Tequila,7.43,107.00,646.59
Harpoon UFO Maine Blueberry,5.44,97.00,515.81
Pulled Pork Grilled Cheese,10.81,98.00,840.30
Side of Large Guacamole,2.00,100.00,109.42
Mercier Orchards Just Peachy,6.41,97.00,592.35
Side of Caesar Dressing,0.50,98.00,42.32
Side of Poblano Sauce,0.50,95.00,38.58
Moody Tongue Carmalized Chocolate Churro Baltic Porter,7.33,98.00,709.50
NEW - 2 Impossible Tacos,14.74,97.00,1040.85
Side of Marinara Sauce,0.50,97.00,40.91
Tropical Breeze Shot,6.04,100.00,590.92
NEW - Embered Tropical Sunset,11.00,89.00,944.90
Shiner Bock,4.84,95.00,459.00
Surfside Iced Tea & Vodka can,6.88,108.00,693.49
Sweetwater Festive,5.01,91.00,448.00
Basil Breeze,11.03,91.00,993.24
Kirin Ichiban btl,4.98,91.00,448.00
Side Sweet Potato Fries,4.39,93.00,345.15
Abita Vanilla Triple Dog,4.83,92.00,428.00
Don Julio 1942,30.90,110.00,2611.00
Creature Tsundoku,5.18,96.00,464.70
Elijah Craig Small Batch Bourbon,13.18,99.00,1277.78
Raj Water,4.44,93.00,330.20
Clase Azul Reposado Tequila,29.40,145.00,4047.09
Creature Thats A 10,5.10,87.00,432.67
Firewater Tropical Retreat,5.09,90.00,438.00
HH CR Merlot 6,5.00,88.00,440.00
Drumshanbo Gunpowder Irish Gin,9.64,91.00,867.50
Green River Kentucky Straight Rye,12.11,92.00,1114.40
Hi Wire Bed of Nails,6.46,89.00,566.74
PineAperol Daiquiri,10.00,87.00,831.08
Variant Cashmere,5.55,86.00,447.00
Canyon Road Merlot 6,8.35,91.00,652.85
Surfside Green Tea & Vodka can,7.38,92.00,643.50
Potters Craft Potters Grapefruit Hibiscus Session Cider,4.08,89.00,355.98
Rhinegeist Juicy Truth,6.98,88.00,606.00
Twisted Tea,5.60,88.00,244.04
Liquid Death Sparkling can,5.12,86.00,419.74
Side of Boom Boom Sauce,0.50,87.00,41.25
